head,r_squared_true_eff,r_squared_normalized_eff,correlation_true_eff,correlation_normalized_eff,p_value_true_eff
20,0.9301993661181044,0.9301993661181044,0.964468437077183,0.964468437077183,2.1219980321630327e-29
30,0.9746610215689469,0.9746610215689469,0.9872492195838631,0.9872492195838632,5.693033859417641e-40
40,0.9864232983191116,0.9864232983191116,0.9931884505566461,0.9931884505566461,1.774063393640051e-46
