head_m,true_bep_flow_m3h,true_bep_efficiency,true_bep_frequency_hz,proxy_bep_flow_m3h,proxy_bep_value,proxy_bep_frequency_hz,absolute_error_m3h,percentage_error
20,2.5824666104383938,0.5724225482947545,46.96969696969697,2.5824666104383938,7.015945539346825,46.96969696969697,0.0,0.0
25,2.9054738342965396,0.5724078515856682,52.62626262626263,2.9054738342965396,5.612596581790532,52.62626262626263,0.0,0.0
30,3.1709303019788444,0.5724194105815803,57.57575757575758,3.1709303019788444,4.67726858656131,57.57575757575758,0.0,0.0
35,3.4222133457928616,0.5724208303440341,62.17171717171717,3.4222133457928616,4.009098390025676,62.17171717171717,0.0,0.0
